date,Cluster v2 + VM(M&M),"Cluster v2 + VM(실시간,≤1.5x)",Cluster v2 + TV12m(수정),Cluster v1 + VM(M&M),"Cluster v1 + VM(실시간,≤1.5x)",Naive GMVP-LW + VM(M&M),"Naive GMVP-LW + VM(실시간,≤1.5x)",EW Market + VM(M&M),"EW Market + VM(실시간,≤1.5x)",Market RV2 (t-1),Market ann.vol (t-1)
2004-07-30,1.2573092476751697,1.0,1.1239269038842143,1.3549747097030644,1.0,1.269411093884724,1.0,1.3360025519927003,1.0,0.00082311,0.0993847070730703
2004-08-31,1.0854761486181366,1.0,1.0385164070962436,1.1697939326247957,1.0,1.0959240678066782,1.0,1.1534146490710473,1.0,0.0009534099999999,0.1069622363266587
2004-09-30,0.6533277452441364,1.0,1.03573274975173,0.7040770387953409,1.0,0.6596161519443965,1.0,0.6942186550745122,1.0,0.0015840499999999,0.1347017918487825
2004-10-29,1.4078025558467322,1.0,1.0377409911541386,1.5171580603219081,1.0,1.4213529294368232,1.0,1.495915035056673,1.0,0.0007351199999999,0.0939225212608775
2004-11-30,0.8379720122540781,1.0,1.338879802990975,0.9030641317104229,1.0,0.8460376559602395,1.0,0.8904195598179058,1.0,0.00123501,0.121737915211326
2004-12-31,1.2490239990029919,1.0,1.1658106709252547,1.3460458782042426,1.0,1.2610460980815807,1.0,1.3271987406866188,1.0,0.00082857,0.0997137904203826
2005-01-31,1.408588170644076,1.0,1.1745820825521833,1.5180047002268777,1.0,1.4221461059294898,1.0,1.4967498204335203,1.0,0.00073471,0.0917375010064536
2005-02-28,1.0971797367095426,1.5,1.069961058352566,1.1824066338404746,1.5,1.1077403052112456,1.3708191369914247,1.1658507490890035,1.4092609773276088,0.00094324,0.1090175398731782
2005-03-31,1.172536102574051,1.5,1.0710308259171573,1.2636165431371251,1.5,1.183821990763245,1.4691611353933212,1.2459235691132218,1.5,0.00088262,0.1081957874459658
2005-04-29,1.3111998465106287,1.5,1.0281047124658882,1.4130514308023634,1.5,1.323820400222298,1.5,1.3932660913373096,1.5,0.00078928,0.095083350994607
2005-05-31,0.567446808488866,0.7403902209159723,0.9642826037021403,0.611525029363956,0.7115186002112962,0.5729085944584932,0.6776754993992549,0.6029625453427816,0.686617990523512,0.00182379,0.1479374192014988
2005-06-30,1.139661499927219,1.4925843732986055,0.934426888545603,1.228188302025911,1.4380646011122216,1.1506309636677994,1.3658382364068375,1.210991389052409,1.3855190646237237,0.00090808,0.1043885051143084
2005-07-29,1.8512491545246392,1.5,0.9523090701520593,1.9950507724159516,1.5,1.8690677879316948,1.5,1.9671163632912576,1.5,0.00055903,0.0800214630299555
2005-08-31,1.5004259791427335,1.5,0.9862249854180116,1.6169763002054243,1.5,1.5148678712086516,1.5,1.594335634544483,1.5,0.00068974,0.0932240526902794
2005-09-30,1.399691383123575,1.5,0.9377724754092429,1.5084168266705744,1.5,1.413163685097589,1.4179508894077928,1.4872961948804562,1.5,0.00073938,0.0900057389474596
2005-10-31,1.5453475710464,1.5,0.9620441171384199,1.6653873184665382,1.5,1.5602218421771439,1.5,1.6420688088083681,1.5,0.0006696899999999,0.089645301048075
2005-11-30,0.526237441513041,0.5815267177534569,0.9049358015888337,0.5671145948122638,0.5671061866569828,0.5313025793052555,0.5123706970481464,0.5591739392003334,0.5637724185046878,0.0019666099999999,0.1536207017299426
2005-12-30,1.721998394072961,1.5,1.027667392198275,1.8557600514213037,1.5,1.738572963755562,1.5,1.8297759705996965,1.5,0.00060099,0.0849227884610485
2006-01-31,2.1987885670514986,1.5,1.035827101311159,2.3695864051329516,1.5,2.219952334943118,1.5,2.3364078028575124,1.5,0.0004706699999999,0.0751534430349002
