date,"Cluster v2 (잔차+동적K, [C23+K24])","Cluster v1 (원시+K=10, [K24])",Naive GMVP-LW,EW Market,S&P500 (approx.)
2006-02-28,0.011696928856128943,0.0090122013642702,0.0008082929315963514,0.00012887670530421243,0.012299556585700477
2006-03-31,0.017016625953431445,0.023201041932866547,0.027253478087154576,0.04004738445538553,0.012299556585700477
2006-04-28,0.009504492925814305,0.003819242018967654,0.0038329469519266775,0.004742583982361674,0.012299556585700477
2006-05-31,-0.018324669535841824,-0.030870427853802722,-0.027665376338522542,-0.05213795909285667,0.012299556585700477
2006-06-30,0.0014781916353348125,-0.0017848280058115839,-0.00845370054405481,-0.009263593218564577,0.012299556585700477
2006-07-31,0.0074337604056663896,-0.00371741742334895,-0.003624723412056467,-0.0318108175031228,0.012299556585700477
2006-08-31,0.021605292846749027,0.022723712272692934,0.0013680122691220812,0.0273860398943545,0.012299556585700477
2006-09-29,0.009377521689198094,0.016195657434486064,0.009105656493772617,0.011054127073380193,0.012299556585700477
2006-10-31,0.03938828014860914,0.03896992233911625,0.04167337078139319,0.049700185261964645,0.012299556585700477
2006-11-30,0.023124006841378785,0.022554108667330184,0.009624846268673827,0.029720829034515166,0.012299556585700477
2006-12-29,0.01693594996497942,0.01751528536039521,0.021583048012163715,0.008702682595611598,0.012299556585700477
2007-01-31,0.0040364543842501665,0.008953781970885059,0.01657399637300995,0.022708751720718266,0.004471698917043021
2007-02-28,-0.0015593123316865508,-0.006503925270979795,0.0026260642171864533,-0.0013525692488044283,0.004471698917043021
2007-03-30,0.015006702045504416,0.007230276683119107,0.012263203717158439,0.007964929052626659,0.004471698917043021
2007-04-30,0.0219255888690642,0.018528547458426522,0.031237756790454957,0.02564223381071265,0.004471698917043021
2007-05-31,0.02254731776309967,0.03059550350593951,0.021237032368304758,0.034538472090627464,0.004471698917043021
2007-06-29,-0.02750733837088157,-0.02140893784206203,-0.015120975760208516,-0.010872531655014528,0.004471698917043021
2007-07-31,-0.06278802826940375,-0.06701514452332338,-0.04701894561884049,-0.055852500860585935,0.004471698917043021
2007-08-31,0.015033369344114955,0.01483878263112079,0.01420799158669708,0.002274950385404428,0.004471698917043021
