date,RV2,RV2_var,n_days,mkt_rf_sum,RF,ann_vol
2004-01-31,0.0009,0.0009223557894736843,20,0.021800000000000003,0.0,0.10648943609579309
2004-02-29,0.000711,0.0007392977777777779,19,0.014199999999999997,0.0,0.09710872907806947
2004-03-31,0.0020936999999999996,0.0021818790909090904,23,-0.0124,0.0,0.15145847472233895
2004-04-30,0.0013035700000000002,0.0013527280000000003,21,-0.0179,0.0,0.12507133964262157
2004-05-31,0.00115494,0.0012076336842105262,20,0.012400000000000001,0.0,0.12063268213879685
2004-06-30,0.0008231100000000002,0.000846781,21,0.0187,0.0,0.09938470707307036
2004-07-31,0.0009534099999999999,0.00091662,21,-0.0411,0.0,0.10696223632665877
2004-08-31,0.0015840499999999998,0.001659400476190476,22,0.0013000000000000034,0.0022,0.1347017918487825
2004-09-30,0.0007351199999999999,0.0007587539999999999,21,0.0162,0.0021000000000000003,0.09392252126087758
2004-10-31,0.0012350100000000001,0.0012859559999999996,21,0.014700000000000003,0.0021000000000000003,0.12173791521132601
2004-11-30,0.0008285700000000002,0.0007691979999999999,21,0.044899999999999995,0.0021000000000000003,0.09971379042038268
2004-12-31,0.0007347100000000001,0.0007143242857142858,22,0.0341,0.0022,0.09173750100645368
2005-01-31,0.0009432400000000001,0.0009527915789473685,20,-0.027600000000000003,0.002,0.10901753987317822
2005-02-28,0.00088262,0.0009115988888888892,19,0.019000000000000003,0.0019,0.10819578744596589
2005-03-31,0.00078928,0.0008089428571428573,22,-0.019399999999999997,0.0022,0.09508335099460703
2005-04-30,0.00182379,0.0018824669999999999,21,-0.025500000000000005,0.0021000000000000003,0.14793741920149883
2005-05-31,0.00090808,0.0008872359999999998,21,0.036399999999999995,0.0021000000000000003,0.10438850511430844
2005-06-30,0.0005590300000000001,0.0005838785714285715,22,0.006099999999999999,0.0022,0.08002146302995557
2005-07-31,0.0006897400000000001,0.0006468084210526318,20,0.038799999999999994,0.002,0.09322405269027946
2005-08-31,0.00073938,0.000766871818181818,23,-0.011600000000000001,0.0023,0.09000573894745968
2005-09-30,0.0006696899999999999,0.000701974,21,0.004899999999999998,0.0021000000000000003,0.08964530104807501
2005-10-31,0.0019666099999999997,0.0020455359999999997,21,-0.019700000000000002,0.0021000000000000003,0.15362070172994263
2005-11-30,0.0006009900000000001,0.000567315,21,0.035699999999999996,0.0021000000000000003,0.08492278846104856
2005-12-31,0.00047066999999999996,0.000493983,21,-0.0020999999999999986,0.004200000000000001,0.07515344303490026
2006-01-31,0.0009434800000000001,0.0009444968421052633,20,0.0304,0.004,0.10903140831888763
2006-02-28,0.00067267,0.0007096933333333333,19,-0.0025000000000000022,0.0038,0.09445490151946924
2006-03-31,0.00058252,0.0005990418181818181,23,0.0148,0.0046,0.07988988073265763
2006-04-30,0.0005807200000000001,0.0006097733333333335,19,0.007599999999999999,0.0038,0.08776207069475732
2006-05-31,0.0014576099999999998,0.0014670080952380949,22,-0.035500000000000004,0.0044,0.12921400852848733
2006-06-30,0.00246571,0.002582872857142857,22,-0.002299999999999998,0.0044,0.16805828534388678
2006-07-31,0.0017631199999999997,0.0018534821052631578,20,-0.006799999999999999,0.004,0.14904801910793714
2006-08-31,0.0006030300000000001,0.0006113381818181818,23,0.0205,0.0046,0.08128413931603033
2006-09-30,0.00059234,0.0006060821052631576,20,0.0182,0.004,0.08639145791106896
2006-10-31,0.0005406300000000001,0.0005185223809523811,22,0.0317,0.0044,0.07869352520437059
2006-11-30,0.0006955900000000002,0.0007157490000000002,21,0.017099999999999997,0.004200000000000001,0.09136235548627236
2006-12-31,0.0003793599999999999,0.0003954336842105263,20,0.008600000000000002,0.004,0.06913708122274181
2007-01-31,0.00049572,0.0005114947368421053,20,0.014000000000000002,0.004,0.07903209474637503
2007-02-28,0.00144177,0.001501601111111111,19,-0.019100000000000002,0.0038,0.13828384995325643
2007-03-31,0.00160242,0.0016758285714285716,22,0.007799999999999999,0.0044,0.13548059908072715
2007-04-30,0.00057135,0.0005387763157894736,20,0.034499999999999996,0.004,0.08484697991089607
